"REF_DATE","GEO","DGUID","Divorces","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1981","Newfoundland and Labrador","","Divorces","Number","223","units ","0","v108","2.1","569","","","","0"
"1981","Prince Edward Island","","Divorces","Number","223","units ","0","v112","3.1","187","","","","0"
"1981","Nova Scotia","","Divorces","Number","223","units ","0","v113","4.1","2285","","","","0"
"1981","New Brunswick","","Divorces","Number","223","units ","0","v114","5.1","1334","","","","0"
"1981","Quebec","","Divorces","Number","223","units ","0","v115","6.1","19193","","","","0"
"1981","Ontario","","Divorces","Number","223","units ","0","v116","7.1","21680","","","","0"
"1981","Manitoba","","Divorces","Number","223","units ","0","v117","8.1","2399","","","","0"
"1981","Saskatchewan","","Divorces","Number","223","units ","0","v118","9.1","1932","","","","0"
"1981","Alberta","","Divorces","Number","223","units ","0","v119","10.1","8418","","","","0"
"1981","British Columbia","","Divorces","Number","223","units ","0","v109","11.1","9533","","","","0"
"1981","Yukon","","Divorces","Number","223","units ","0","v110","12.1","75","","","","0"
"1981","Northwest Territories including Nunavut","","Divorces","Number","223","units ","0","v111","13.1","66","","","t","0"
"1982","Canada","","Divorces","Number","223","units ","0","v107","1.1","70436","","","","0"
"1982","Newfoundland and Labrador","","Divorces","Number","223","units ","0","v108","2.1","625","","","","0"
"1982","Prince Edward Island","","Divorces","Number","223","units ","0","v112","3.1","206","","","","0"
"1982","Nova Scotia","","Divorces","Number","223","units ","0","v113","4.1","2281","","","","0"
"1982","New Brunswick","","Divorces","Number","223","units ","0","v114","5.1","1663","","","","0"
"1982","Quebec","","Divorces","Number","223","units ","0","v115","6.1","18579","","","","0"
"1982","Ontario","","Divorces","Number","223","units ","0","v116","7.1","23644","","","","0"
"1982","Manitoba","","Divorces","Number","223","units ","0","v117","8.1","2392","","","","0"
"1982","Saskatchewan","","Divorces","Number","223","units ","0","v118","9.1","1815","","","","0"
"1982","Alberta","","Divorces","Number","223","units ","0","v119","10.1","8882","","","","0"
"1982","British Columbia","","Divorces","Number","223","units ","0","v109","11.1","10165","","","","0"
"1982","Yukon","","Divorces","Number","223","units ","0","v110","12.1","117","","","","0"
"1982","Northwest Territories including Nunavut","","Divorces","Number","223","units ","0","v111","13.1","67","","","t","0"
"1983","Canada","","Divorces","Number","223","units ","0","v107","1.1","68567","","","","0"
"1983","Newfoundland and Labrador","","Divorces","Number","223","units ","0","v108","2.1","711","","","","0"
"1983","Prince Edward Island","","Divorces","Number","223","units ","0","v112","3.1","215","","","","0"
"1983","Nova Scotia","","Divorces","Number","223","units ","0","v113","4.1","2340","","","","0"
"1983","New Brunswick","","Divorces","Number","223","units ","0","v114","5.1","1942","","","","0"
"1983","Quebec","","Divorces","Number","223","units ","0","v115","6.1","17365","","","","0"
"1983","Ontario","","Divorces","Number","223","units ","0","v116","7.1","23073","","","","0"
"1983","Manitoba","","Divorces","Number","223","units ","0","v117","8.1","2642","","","","0"
"1983","Saskatchewan","","Divorces","Number","223","units ","0","v118","9.1","2000","","","","0"
"1983","Alberta","","Divorces","Number","223","units ","0","v119","10.1","8758","","","","0"
"1983","British Columbia","","Divorces","Number","223","units ","0","v109","11.1","9348","","","","0"
"1983","Yukon","","Divorces","Number","223","units ","0","v110","12.1","88","","","","0"
"1983","Northwest Territories including Nunavut","","Divorces","Number","223","units ","0","v111","13.1","85","","","t","0"
