REF_DATE,GEO,DGUID,Duration of marriage,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
2004,"Prince Edward Island, place of occurrence",2016A000211,"Year of marriage, all years",Number,223,units ,0,v42139372,3.1,293,,,,0
2004,"Prince Edward Island, place of occurrence",2016A000211,"Duration of marriage, 0 years",Number,223,units ,0,v42139373,3.2,0,,,,0
2004,"Prince Edward Island, place of occurrence",2016A000211,"Duration of marriage, 1 to 4 years",Number,223,units ,0,v42139374,3.3,31,,,,0
2004,"Prince Edward Island, place of occurrence",2016A000211,"Duration of marriage, 1 year",Number,223,units ,0,v42139375,3.4,4,,,,0
2004,"Prince Edward Island, place of occurrence",2016A000211,"Duration of marriage, 2 years",Number,223,units ,0,v42139376,3.5,4,,,,0
2004,"Prince Edward Island, place of occurrence",2016A000211,"Duration of marriage, 3 years",Number,223,units ,0,v42139377,3.6,13,,,,0
2004,"Prince Edward Island, place of occurrence",2016A000211,"Duration of marriage, 4 years",Number,223,units ,0,v42139378,3.7,10,,,,0
2004,"Prince Edward Island, place of occurrence",2016A000211,"Duration of marriage, 5 to 9 years",Number,223,units ,0,v42139379,3.8,56,,,,0
2004,"Prince Edward Island, place of occurrence",2016A000211,"Duration of marriage, 5 years",Number,223,units ,0,v42139380,3.9,16,,,,0
2004,"Prince Edward Island, place of occurrence",2016A000211,"Duration of marriage, 6 years",Number,223,units ,0,v42139381,3.1,12,,,,0
2004,"Prince Edward Island, place of occurrence",2016A000211,"Duration of marriage, 7 years",Number,223,units ,0,v42139382,3.11,10,,,,0
2004,"Prince Edward Island, place of occurrence",2016A000211,"Duration of marriage, 8 years",Number,223,units ,0,v42139383,3.12,9,,,,0
2004,"Prince Edward Island, place of occurrence",2016A000211,"Duration of marriage, 9 years",Number,223,units ,0,v42139384,3.13,9,,,,0
2004,"Prince Edward Island, place of occurrence",2016A000211,"Duration of marriage, 10 to 14 years",Number,223,units ,0,v42139385,3.14,70,,,,0
2004,"Prince Edward Island, place of occurrence",2016A000211,"Duration of marriage, 10 years",Number,223,units ,0,v42139386,3.15,13,,,,0
2004,"Prince Edward Island, place of occurrence",2016A000211,"Duration of marriage, 11 years",Number,223,units ,0,v42139387,3.16,16,,,,0
2004,"Prince Edward Island, place of occurrence",2016A000211,"Duration of marriage, 12 years",Number,223,units ,0,v42139388,3.17,10,,,,0
2004,"Prince Edward Island, place of occurrence",2016A000211,"Duration of marriage, 13 years",Number,223,units ,0,v42139389,3.18,13,,,,0
2004,"Prince Edward Island, place of occurrence",2016A000211,"Duration of marriage, 14 years",Number,223,units ,0,v42139390,3.19,18,,,,0
2004,"Prince Edward Island, place of occurrence",2016A000211,"Duration of marriage, 15 to 19 years",Number,223,units ,0,v42139391,3.2,57,,,,0
2004,"Prince Edward Island, place of occurrence",2016A000211,"Duration of marriage, 15 years",Number,223,units ,0,v42139392,3.21,9,,,,0
2004,"Prince Edward Island, place of occurrence",2016A000211,"Duration of marriage, 16 years",Number,223,units ,0,v42139393,3.22,13,,,,0
2004,"Prince Edward Island, place of occurrence",2016A000211,"Duration of marriage, 17 years",Number,223,units ,0,v42139394,3.23,10,,,,0
2004,"Prince Edward Island, place of occurrence",2016A000211,"Duration of marriage, 18 years",Number,223,units ,0,v42139395,3.24,14,,,,0
2004,"Prince Edward Island, place of occurrence",2016A000211,"Duration of marriage, 19 years",Number,223,units ,0,v42139396,3.25,11,,,,0
2004,"Prince Edward Island, place of occurrence",2016A000211,"Duration of marriage, 20 to 24 years",Number,223,units ,0,v42139397,3.26,37,,,,0
2004,"Prince Edward Island, place of occurrence",2016A000211,"Duration of marriage, 20 years",Number,223,units ,0,v42139398,3.27,9,,,,0
2004,"Prince Edward Island, place of occurrence",2016A000211,"Duration of marriage, 21 years",Number,223,units ,0,v42139399,3.28,9,,,,0
2004,"Prince Edward Island, place of occurrence",2016A000211,"Duration of marriage, 22 years",Number,223,units ,0,v42139400,3.29,5,,,,0
2004,"Prince Edward Island, place of occurrence",2016A000211,"Duration of marriage, 23 years",Number,223,units ,0,v42139401,3.3,7,,,,0
2004,"Prince Edward Island, place of occurrence",2016A000211,"Duration of marriage, 24 years",Number,223,units ,0,v42139402,3.31,7,,,,0
2004,"Prince Edward Island, place of occurrence",2016A000211,"Duration of marriage, 25 to 29 years",Number,223,units ,0,v42139403,3.32,18,,,,0
2004,"Prince Edward Island, place of occurrence",2016A000211,"Duration of marriage, 25 years",Number,223,units ,0,v42139404,3.33,4,,,,0
2004,"Prince Edward Island, place of occurrence",2016A000211,"Duration of marriage, 26 years",Number,223,units ,0,v42139405,3.34,4,,,,0
2004,"Prince Edward Island, place of occurrence",2016A000211,"Duration of marriage, 27 years",Number,223,units ,0,v42139406,3.35,3,,,,0
2004,"Prince Edward Island, place of occurrence",2016A000211,"Duration of marriage, 28 years",Number,223,units ,0,v42139407,3.36,6,,,,0
2004,"Prince Edward Island, place of occurrence",2016A000211,"Duration of marriage, 29 years",Number,223,units ,0,v42139408,3.37,1,,,,0
2004,"Prince Edward Island, place of occurrence",2016A000211,"Duration of marriage, 30 to 34 years",Number,223,units ,0,v42139409,3.38,9,,,,0
2004,"Prince Edward Island, place of occurrence",2016A000211,"Duration of marriage, 35 to 39 years",Number,223,units ,0,v42139410,3.39,10,,,,0
2004,"Prince Edward Island, place of occurrence",2016A000211,"Duration of marriage, 40 to 44 years",Number,223,units ,0,v42139411,3.4,3,,,,0
2004,"Prince Edward Island, place of occurrence",2016A000211,"Duration of marriage, 45 to 49 years",Number,223,units ,0,v42139412,3.41,1,,,,0
2004,"Prince Edward Island, place of occurrence",2016A000211,"Duration of marriage, 50 years and over",Number,223,units ,0,v42139413,3.42,1,,,,0
2004,"Prince Edward Island, place of occurrence",2016A000211,"Duration of marriage, not stated",Number,223,units ,0,v42139414,3.43,0,,,,0
2004,"Nova Scotia, place of occurrence",2016A000212,"Year of marriage, all years",Number,223,units ,0,v42139415,4.1,2000,,,,0
2004,"Nova Scotia, place of occurrence",2016A000212,"Duration of marriage, 0 years",Number,223,units ,0,v42139416,4.2,4,,,,0
2004,"Nova Scotia, place of occurrence",2016A000212,"Duration of marriage, 1 to 4 years",Number,223,units ,0,v42139417,4.3,214,,,,0
2004,"Nova Scotia, place of occurrence",2016A000212,"Duration of marriage, 1 year",Number,223,units ,0,v42139418,4.4,23,,,,0
2004,"Nova Scotia, place of occurrence",2016A000212,"Duration of marriage, 2 years",Number,223,units ,0,v42139419,4.5,36,,,,0
2004,"Nova Scotia, place of occurrence",2016A000212,"Duration of marriage, 3 years",Number,223,units ,0,v42139420,4.6,76,,,,0
2004,"Nova Scotia, place of occurrence",2016A000212,"Duration of marriage, 4 years",Number,223,units ,0,v42139421,4.7,79,,,,0
